Number,Date_Time,Temp
1,11/27/17 12:00:00 PM,23.773
2,11/27/17 12:30:00 PM,23.869
3,11/27/17 01:00:00 PM,23.869
4,11/27/17 01:30:00 PM,23.869
5,11/27/17 02:00:00 PM,23.869
6,11/27/17 02:30:00 PM,23.966
7,11/27/17 03:00:00 PM,24.062
8,11/27/17 03:30:00 PM,23.966
9,11/27/17 04:00:00 PM,23.388
10,11/27/17 04:30:00 PM,23.004
11,11/27/17 05:00:00 PM,22.812
12,11/27/17 05:30:00 PM,22.717
13,11/27/17 06:00:00 PM,22.717
14,11/27/17 06:30:00 PM,22.812
15,11/27/17 07:00:00 PM,22.812
16,11/27/17 07:30:00 PM,22.812
17,11/27/17 08:00:00 PM,22.812
18,11/27/17 08:30:00 PM,22.812
19,11/27/17 09:00:00 PM,22.812
20,11/27/17 09:30:00 PM,22.812
21,11/27/17 10:00:00 PM,22.908
22,11/27/17 10:30:00 PM,22.908
23,11/27/17 11:00:00 PM,22.908
24,11/27/17 11:30:00 PM,22.908
25,11/28/17 12:00:00 AM,22.908
26,11/28/17 12:30:00 AM,22.908
27,11/28/17 01:00:00 AM,22.908
28,11/28/17 01:30:00 AM,23.004
29,11/28/17 02:00:00 AM,23.004
30,11/28/17 02:30:00 AM,23.004
31,11/28/17 03:00:00 AM,23.004
32,11/28/17 03:30:00 AM,23.1
33,11/28/17 04:00:00 AM,23.1
34,11/28/17 04:30:00 AM,23.1
35,11/28/17 05:00:00 AM,23.1
36,11/28/17 05:30:00 AM,23.1
37,11/28/17 06:00:00 AM,23.1
38,11/28/17 06:30:00 AM,23.196
39,11/28/17 07:00:00 AM,23.196
40,11/28/17 07:30:00 AM,23.292
41,11/28/17 08:00:00 AM,23.292
42,11/28/17 08:30:00 AM,23.292
43,11/28/17 09:00:00 AM,23.292
44,11/28/17 09:30:00 AM,23.292
45,11/28/17 10:00:00 AM,23.292
46,11/28/17 10:30:00 AM,23.388
47,11/28/17 11:00:00 AM,23.388
48,11/28/17 11:30:00 AM,23.388
49,11/28/17 12:00:00 PM,23.388
50,11/28/17 12:30:00 PM,23.388
51,11/28/17 01:00:00 PM,23.388
52,11/28/17 01:30:00 PM,23.388
53,11/28/17 02:00:00 PM,23.484
54,11/28/17 02:30:00 PM,23.484
55,11/28/17 03:00:00 PM,23.677
56,11/28/17 03:30:00 PM,23.581
57,11/28/17 04:00:00 PM,23.388
58,11/28/17 04:30:00 PM,23.292
59,11/28/17 05:00:00 PM,23.196
60,11/28/17 05:30:00 PM,23.196
61,11/28/17 06:00:00 PM,23.196
62,11/28/17 06:30:00 PM,23.196
63,11/28/17 07:00:00 PM,23.196
64,11/28/17 07:30:00 PM,23.196
65,11/28/17 08:00:00 PM,23.196
66,11/28/17 08:30:00 PM,23.196
67,11/28/17 09:00:00 PM,23.196
68,11/28/17 09:30:00 PM,23.196
69,11/28/17 10:00:00 PM,23.196
70,11/28/17 10:30:00 PM,23.196
71,11/28/17 11:00:00 PM,23.292
72,11/28/17 11:30:00 PM,23.292
73,11/29/17 12:00:00 AM,23.292
74,11/29/17 12:30:00 AM,23.292
75,11/29/17 01:00:00 AM,23.292
76,11/29/17 01:30:00 AM,23.292
77,11/29/17 02:00:00 AM,23.388
78,11/29/17 02:30:00 AM,23.388
79,11/29/17 03:00:00 AM,23.388
